27;FGE;± general classifier;-FGM, +FGC;FGE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FGE;27;;;;;;;;;;;;;;;;;;;;
28;FCN;± person spread to predicate nouns;+FGP;FCN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;FCN;28;;;;;;;;;;;;;;;;;;;;
29;HMP;± NP-heading modifier;;HMP;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;HMP;29;;;;;;;;;;;;;;;;;;;;
30;ARR;± free reduced relatives;;ARR;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;-;+;+;+;+;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;-;+;-;-;-;ARR;30;;;;;;;;;;;;;;;;;;;;
31;GCN;± head-marking;;GCN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;-;-;GCN;31;;;;;;;;;;;;;;;;;;;;
32;GFN;± Person controlled marking;+FGP, +GCN;GFN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;+;+;0;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;-;+;0;0;GFN;32;;;;;;;;;;;;;;;;;;;;
33;GFP;± agreement with all pronouns ;+GFN;GFP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;+;+;+;-;+;+;+;+;+;+;+;+;+;0;0;0;+;0;0;GFP;33;;;;;;;;;;;;;;;;;;;;
34;GP3;± agreement with all 3rdPers DPs;+GFP;GP3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;-;+;+;0;+;+;+;+;+;+;+;+;-;0;0;0;+;0;0;GP3;34;;;;;;;;;;;;;;;;;;;;
35;CSE;± full c-selection;;CSE;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;CSE;35;;;;;;;;;;;;;;;;;;;;
36;EAL;± ergative alignment                    ;+FGK, +CSE;EAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;+;+;EAL;36;;;;;;;;;;;;;;;;;;;;
